,start_date,end_date,duration,distance,electricity_used,MPGe,mikWh,start_soc,end_soc,temp,start_range,end_range
32,2022-05-03 16:12:47,2022-05-03 16:20:31,00:07:44,1.83,0.19,324.18,9.631578947368421,0.6901999999999999,0.6901999999999999,64.4,438.74924210526314,438.74924210526314
33,2022-08-05 11:09:16,2022-08-05 11:20:14,00:10:58,5.67,0.6,318.34,9.450000000000001,0.7451000000000001,0.7293999999999999,88.18,464.71887000000015,454.92678
34,2022-09-01 07:03:35,2022-09-01 07:08:50,00:05:15,1.7,0.18,318.11,9.444444444444445,1.0,1.0,74.3,623.3333333333334,623.3333333333334
35,2022-09-26 09:38:57,2022-09-26 09:53:40,00:14:43,6.1,0.67,306.74,9.104477611940297,0.447,0.4314,63.5,268.60029850746264,259.2263283582089
36,2022-04-13 19:12:02,2022-04-13 19:22:19,00:10:17,3.08,0.34,305.34,9.058823529411764,0.7568,0.7490000000000001,71.6,452.47736470588234,447.8138823529412
37,2022-04-12 19:36:09,2022-04-12 19:37:45,00:01:36,0.18,0.02,306.82,9.0,0.3686,0.3686,62.165000000000006,218.9484,218.9484
38,2022-10-01 16:00:58,2022-10-01 16:12:06,00:11:08,5.67,0.63,303.15,9.0,0.8039000000000001,0.7881999999999999,61.39333333333333,477.51660000000004,468.19079999999997
39,2022-10-10 13:31:30,2022-10-10 13:46:19,00:14:49,5.61,0.63,300.22,8.904761904761905,0.7412000000000001,0.7254999999999999,68.0,435.6138285714286,426.3867142857143
40,2022-06-24 16:02:04,2022-06-24 16:12:45,00:10:41,4.44,0.5,299.53,8.88,0.5176,0.5058,84.2,303.355008,296.43926400000004
41,2022-05-07 13:44:25,2022-05-07 13:49:08,00:04:43,0.71,0.08,297.4,8.875,0.7254999999999999,0.7254999999999999,53.6,424.96162499999997,424.96162499999997
42,2022-05-11 08:20:50,2022-05-11 08:27:40,00:06:50,1.68,0.19,297.62,8.842105263157894,0.7686,0.7646999999999999,63.3,448.5387789473683,446.2628210526315
43,2022-04-23 21:12:12,2022-04-23 21:22:37,00:10:25,2.97,0.34,293.95,8.735294117647058,0.23920000000000002,0.2314,57.2,137.90583529411765,133.4089058823529
44,2022-10-02 16:52:53,2022-10-02 17:02:17,00:09:24,3.47,0.4,292.42,8.675,0.7686,0.7646999999999999,58.53666666666666,440.06193,437.82898500000005
45,2022-09-15 16:09:52,2022-09-15 16:17:12,00:07:20,1.98,0.23,290.66,8.608695652173912,0.7568,0.753,71.6,429.9940173913043,427.8349565217391
46,2022-04-08 16:17:05,2022-04-08 16:34:53,00:17:48,5.55,0.65,287.99,8.538461538461538,0.647,0.6392,59.0,364.6093846153846,360.2137846153846
47,2022-08-17 14:00:07,2022-08-17 14:12:59,00:12:52,5.69,0.68,282.24,8.367647058823529,0.7608,0.7451000000000001,82.4,420.1629882352941,411.4924323529412
48,2022-06-23 17:56:21,2022-06-23 18:04:09,00:07:48,1.84,0.22,281.31,8.363636363636363,0.5804,0.5726,67.87,320.3808,316.0752
49,2022-09-14 16:19:13,2022-09-14 16:26:12,00:06:59,2.76,0.33,281.91,8.363636363636363,0.7254999999999999,0.7254999999999999,79.23,400.47599999999994,400.47599999999994
50,2022-04-02 14:44:47,2022-04-02 14:55:59,00:11:12,3.65,0.44,279.26,8.295454545454545,0.7020000000000001,0.6901999999999999,48.504999999999995,384.345,377.88449999999995
51,2022-08-03 14:19:46,2022-08-03 14:28:26,00:08:40,3.05,0.37,277.47,8.243243243243242,0.502,0.498,82.78,273.11513513513506,270.9389189189189
52,2022-03-20 13:01:57,2022-03-20 13:11:53,00:09:56,3.61,0.44,276.5,8.204545454545455,0.8156,0.8039000000000001,57.5,441.6474,435.31185000000005
53,2022-09-08 18:42:51,2022-09-08 18:48:30,00:05:39,1.7,0.21,272.66,8.095238095238095,0.6745,0.6745,77.55,360.37571428571425,360.37571428571425
54,2022-09-03 15:16:18,2022-09-03 15:23:45,00:07:27,1.61,0.2,270.59,8.05,0.8156,0.8118000000000001,80.6,433.32828,431.3093400000001
55,2022-09-30 18:00:06,2022-09-30 18:11:07,00:11:01,3.6,0.45,269.56,8.0,0.7020000000000001,0.6901999999999999,59.2,370.65600000000006,364.4256
56,2022-10-05 15:28:48,2022-10-05 15:47:34,00:18:46,6.14,0.77,268.81,7.974025974025974,0.7764,0.7646999999999999,58.21,408.6082285714285,402.45068571428567
57,2022-08-06 11:14:25,2022-08-06 11:23:51,00:09:26,1.91,0.24,268.69,7.958333333333333,0.5804,0.5726,80.6,304.8551,300.75815
58,2022-06-09 09:50:08,2022-06-09 10:00:35,00:10:27,3.24,0.41,266.03,7.902439024390245,0.996,0.9882,77.41,519.4747317073171,515.406556097561
59,2022-09-18 14:46:02,2022-09-18 14:58:42,00:12:40,5.68,0.72,265.92,7.888888888888888,0.9686,0.9529000000000001,81.94,504.3177333333333,496.14326666666665
60,2022-10-10 10:25:20,2022-10-10 10:32:11,00:06:51,3.07,0.39,265.17,7.871794871794871,0.7646999999999999,0.7568,59.89,397.2910615384615,393.18670769230766
61,2022-04-15 20:25:46,2022-04-15 20:33:15,00:07:29,1.65,0.21,264.68,7.857142857142857,0.7726000000000001,0.7686,69.35,400.64828571428575,398.57399999999996
62,2022-11-27 18:24:23,2022-11-27 18:31:18,00:06:55,1.8,0.23,264.16,7.826086956521739,0.9529000000000001,0.9490000000000001,49.165,492.1935652173913,490.1791304347827
63,2022-06-23 13:50:10,2022-06-23 13:57:13,00:07:03,2.58,0.33,263.57,7.818181818181818,0.6431999999999999,0.6353,76.03,331.89119999999997,327.8148
64,2022-07-16 18:38:16,2022-07-16 18:55:02,00:16:46,7.43,0.96,261.03,7.739583333333333,0.8588,0.8431000000000001,77.99,438.685775,430.66601875000003
65,2022-11-01 16:16:45,2022-11-01 16:25:33,00:08:48,3.39,0.44,259.65,7.704545454545455,0.6901999999999999,0.6862,66.41,350.9667,348.9327
66,2022-07-18 11:21:47,2022-07-18 11:30:39,00:08:52,3.14,0.41,258.37,7.658536585365854,0.7608,0.753,75.2,384.5565658536586,380.6139512195122
67,2022-06-26 18:41:48,2022-06-26 18:50:22,00:08:34,3.44,0.45,257.65,7.644444444444444,0.6862,0.6745,83.39,346.2107733333333,340.30773333333326
68,2022-09-23 17:33:06,2022-09-23 17:42:25,00:09:19,3.44,0.45,257.84,7.644444444444444,0.7490000000000001,0.7451000000000001,57.97,377.89546666666666,375.9277866666667
69,2022-09-08 20:20:32,2022-09-08 20:29:50,00:09:18,3.28,0.43,257.02,7.627906976744185,0.6509999999999999,0.6431999999999999,69.23,327.74065116279064,323.8138046511627
70,2022-08-27 11:21:48,2022-08-27 11:29:46,00:07:58,2.21,0.29,257.39,7.620689655172415,1.0,0.996,70.13,502.96551724137936,500.9536551724139
71,2022-09-02 15:17:08,2022-09-02 15:40:07,00:22:59,6.93,0.91,256.75,7.615384615384615,0.6745,0.6587999999999999,80.6,339.01407692307686,331.1230153846153
72,2022-04-26 16:28:47,2022-04-26 16:35:22,00:06:35,1.82,0.24,255.25,7.583333333333334,0.7490000000000001,0.753,59.0,374.87450000000007,376.8765
73,2022-08-31 10:54:08,2022-08-31 11:06:14,00:12:06,6.09,0.81,253.23,7.518518518518518,0.5058,0.48619999999999997,78.05,250.9892,241.2632444444444
74,2022-05-01 15:42:38,2022-05-01 15:53:20,00:10:42,3.66,0.49,252.05,7.469387755102042,0.6862,0.6745,73.4,338.2825959183674,332.51473469387753
75,2022-10-30 20:45:52,2022-10-30 20:56:47,00:10:55,5.66,0.76,251.21,7.447368421052632,0.7451000000000001,0.7293999999999999,46.52,366.2362578947369,358.5192947368421
76,2022-08-02 18:21:10,2022-08-02 18:25:35,00:04:25,1.71,0.23,250.14,7.434782608695651,0.6157,0.6118,88.7,302.12131304347827,300.20759999999996
77,2022-08-15 10:05:16,2022-08-15 10:14:21,00:09:05,3.93,0.53,249.78,7.415094339622642,0.6784,0.6628000000000001,76.2,332.00640000000004,324.37181886792456
78,2022-07-13 18:38:40,2022-07-13 18:47:43,00:09:03,2.89,0.39,249.49,7.410256410256411,0.6823999999999999,0.6745,86.0,333.74609230769227,329.8823846153846
79,2022-09-03 10:56:22,2022-09-03 11:08:32,00:12:10,5.74,0.78,247.86,7.358974358974359,0.8039000000000001,0.7881999999999999,77.88,390.4480461538461,382.82267692307687
80,2022-08-28 12:24:07,2022-08-28 12:34:30,00:10:23,3.09,0.42,247.93,7.357142857142857,1.0,0.9882,80.6,485.57142857142856,479.8416857142857
81,2022-06-21 16:05:36,2022-06-21 16:15:16,00:09:40,3.38,0.46,248.0,7.3478260869565215,0.6940999999999999,0.698,75.53,336.60832173913036,338.49965217391303
82,2022-10-10 20:02:17,2022-10-10 20:16:01,00:13:44,3.23,0.44,247.46,7.340909090909091,0.9647,0.9608,50.9,467.39715,465.50759999999997
83,2022-09-25 16:16:00,2022-09-25 16:27:10,00:11:10,4.18,0.57,247.46,7.333333333333333,0.8039000000000001,0.7922,68.9,389.0876,383.4248
84,2022-07-27 17:52:19,2022-07-27 18:02:58,00:10:39,1.96,0.27,245.27,7.259259259259259,0.647,0.6431999999999999,87.8,309.98488888888886,308.1642666666666
85,2022-09-18 10:28:02,2022-09-18 10:31:37,00:03:35,0.87,0.12,244.69,7.25,0.8314,0.8273999999999999,73.4,397.8249,395.91089999999997
86,2022-03-29 12:55:00,2022-03-29 13:05:29,00:10:29,3.04,0.42,243.69,7.238095238095238,0.6628000000000001,0.6587999999999999,33.8,316.6290285714286,314.7181714285714
87,2022-07-26 11:18:03,2022-07-26 11:30:21,00:12:18,5.6,0.78,242.11,7.179487179487179,0.7490000000000001,0.7293999999999999,80.6,354.91076923076923,345.6233846153845
88,2022-08-16 15:03:48,2022-08-16 15:12:38,00:08:50,2.86,0.4,240.9,7.1499999999999995,0.8039000000000001,0.7922,85.04,379.36041,373.83918
89,2022-08-04 13:47:37,2022-08-04 14:13:36,00:25:59,16.11,2.26,240.26,7.128318584070797,0.7020000000000001,0.6628000000000001,94.56,330.2692566371682,311.82687079646024
90,2022-03-11 11:24:00,2022-03-11 11:35:16,00:11:16,3.48,0.49,239.48,7.1020408163265305,0.9882,0.9764,50.81,463.20362448979586,457.67255510204086
